Condition,Dew_Point,Humidity,Precip,Pressure,Temperature,Time,Wind,Wind_Gust,Wind_Speed
Light Rain,81,100,0.0,29.67,81,12:00 AM,VAR,0,1
Light Rain,81,100,0.0,29.67,81,12:30 AM,VAR,0,2
Light Rain,79,100,0.0,29.67,79,1:00 AM,VAR,0,3
Light Rain,81,100,0.0,29.64,81,1:30 AM,VAR,0,1
Light Rain,81,100,0.0,29.64,81,2:00 AM,CALM,0,0
Light Rain,81,100,0.0,29.64,81,2:30 AM,VAR,0,1
Mostly Cloudy,81,100,0.0,29.64,81,3:00 AM,W,0,2
Mostly Cloudy,81,100,0.0,29.64,81,3:30 AM,CALM,0,0
Mostly Cloudy,81,100,0.0,29.64,81,4:00 AM,VAR,0,1
Mostly Cloudy,79,100,0.0,29.64,79,4:30 AM,CALM,0,0
Mostly Cloudy,81,100,0.0,29.64,81,5:00 AM,VAR,0,3
Mostly Cloudy,79,94,0.0,29.67,81,5:30 AM,VAR,0,1
Rain,79,94,0.0,29.67,81,6:00 AM,VAR,0,2
Fog,79,94,0.0,29.67,81,6:30 AM,VAR,0,1
Mostly Cloudy,81,100,0.0,29.64,81,7:00 AM,CALM,0,0
Partly Cloudy,81,100,0.0,29.67,81,7:30 AM,VAR,0,1
Fog,81,100,0.0,29.67,81,8:00 AM,CALM,0,0
Mostly Cloudy,81,94,0.0,29.70,82,8:30 AM,VAR,0,3
Mostly Cloudy,81,94,0.0,29.73,82,9:00 AM,VAR,0,2
Mostly Cloudy,81,89,0.0,29.70,84,9:30 AM,VAR,0,2
Mostly Cloudy,81,89,0.0,29.73,84,10:00 AM,VAR,0,1
Mostly Cloudy,81,89,0.0,29.73,84,10:30 AM,VAR,0,3
Mostly Cloudy,81,84,0.0,29.70,86,11:00 AM,E,0,5
Mostly Cloudy,81,79,0.0,29.67,88,11:30 AM,CALM,0,0
Mostly Cloudy,81,84,0.0,29.67,86,12:00 PM,NW,0,8
Mostly Cloudy,82,84,0.0,29.64,88,12:30 PM,VAR,0,2
Mostly Cloudy,81,75,0.0,29.64,90,1:00 PM,VAR,0,2
Mostly Cloudy,79,66,0.0,29.61,91,1:30 PM,VAR,0,2
Mostly Cloudy,79,70,0.0,29.61,90,2:00 PM,VAR,0,1
Mostly Cloudy,79,75,0.0,29.58,88,2:30 PM,VAR,0,2
Partly Cloudy,79,75,0.0,29.58,88,3:00 PM,NW,0,5
T-Storm,79,75,0.0,29.58,88,3:30 PM,VAR,0,1
T-Storm,79,94,0.0,29.61,81,4:00 PM,ESE,0,14
Light Rain with Thunder,79,94,0.0,29.61,81,4:30 PM,E,0,5
Light Rain,79,94,0.0,29.64,81,5:00 PM,CALM,0,0
Mostly Cloudy,79,89,0.0,29.64,82,5:30 PM,VAR,0,2
Mostly Cloudy,79,94,0.0,29.64,81,6:00 PM,W,0,8
Mostly Cloudy,79,94,0.0,29.67,81,6:30 PM,W,0,7
Mostly Cloudy,79,100,0.0,29.70,79,7:00 PM,W,0,6
Mostly Cloudy,79,100,0.0,29.70,79,7:30 PM,NW,0,2
Mostly Cloudy,79,100,0.0,29.73,79,8:00 PM,VAR,0,1
Partly Cloudy,79,100,0.0,29.73,79,8:30 PM,W,0,2
Partly Cloudy,79,100,0.0,29.73,79,9:00 PM,VAR,0,3
Partly Cloudy,79,100,0.0,29.73,79,9:30 PM,VAR,0,3
Partly Cloudy,79,100,0.0,29.73,79,10:00 PM,VAR,0,1
Partly Cloudy,79,100,0.0,29.73,79,10:30 PM,NW,0,1
Partly Cloudy,79,100,0.0,29.73,79,11:00 PM,NNW,0,1
Partly Cloudy,79,100,0.0,29.73,79,11:30 PM,CALM,0,0
